WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单买入: 6.40
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, <--- [买入] 订单编号: 1, 股票名称: , 价格: 6.40, 成交量: 1000.00, 交易金额: 6400.64, 手续费: 5.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单卖出: 6.41
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ---> [卖出] 订单编号: 2, 股票名称: , 价格: 6.42, 成交量: -1000.00, 交易金额: 6400.64, 手续费: 6.42
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ----- 本次交易净利: 18.72, 毛利: 7.30
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单买入: 6.44
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, <--- [买入] 订单编号: 3, 股票名称: , 价格: 6.44, 成交量: 1000.00, 交易金额: 6440.64, 手续费: 5.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单卖出: 6.43
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ---> [卖出] 订单编号: 4, 股票名称: , 价格: 6.43, 成交量: -1000.00, 交易金额: 6440.64, 手续费: 6.43
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ----- 本次交易净利: -10.64, 毛利: -22.07
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单买入: 6.44
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, <--- [买入] 订单编号: 5, 股票名称: , 价格: 6.44, 成交量: 1000.00, 交易金额: 6440.00, 手续费: 5.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单卖出: 6.43
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ---> [卖出] 订单编号: 6, 股票名称: , 价格: 6.43, 成交量: -1000.00, 交易金额: 6440.00, 手续费: 6.43
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ----- 本次交易净利: -10.64, 毛利: -22.07
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单买入: 6.44
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, <--- [买入] 订单编号: 7, 股票名称: , 价格: 6.43, 成交量: 1000.00, 交易金额: 6430.64, 手续费: 5.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单卖出: 6.45
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ---> [卖出] 订单编号: 8, 股票名称: , 价格: 6.46, 成交量: -1000.00, 交易金额: 6430.64, 手续费: 6.46
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, ----- 本次交易净利: 28.71, 毛利: 17.25
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 下单买入: 6.47
