WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 基准价格: 55.11, 价格区间: [60.621, 59.519, 58.417, 57.314, 56.212, 55.11, 54.008, 52.906, 51.803, 50.701, 49.599]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 初始价格: 55.46 在第 5 格, 格子底: 55.11
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, <--- [买入] 订单编号: 51, 股票名称: , 价格: 55.45, 成交量: 901.00, 交易金额: 49960.45, 手续费: 24.98
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.39, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.39 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.36, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.36 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.33, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.33 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.31, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.31 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.32, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.32 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.39, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.39 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.39, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.39 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.41, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.41 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.33, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.33 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.33, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.33 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.35, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.35 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.39, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.39 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.38, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.38 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.43, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.48, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.48 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.43, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价:55.42, 上界:56.212, 下界:54.008
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-30, 当前价格: 55.42 到达格子顶或底了
