WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 基准价格: 55.1, 价格区间: [60.61, 59.508, 58.406, 57.304, 56.202, 55.1, 53.998, 52.896, 51.794, 50.692, 49.59]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 初始价格: 55.15 在第 5 格, 格子底: 55.1
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 35, 股票名称: , 价格: 55.16, 成交量: 906.00, 交易金额: 49970.90, 手续费: 24.99
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.15, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.15 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.16, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.16 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.13, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.13 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.12, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.12 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.09, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.09 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.07, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.07 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.1, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.1 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.1, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.1 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.1, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.1 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.1, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.1 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.09, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.09 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.12, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.12 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.13, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.13 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.15, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.15 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.16, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.16 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.15, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.15 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.15, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.15 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.16, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.16 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价:55.19, 上界:56.202, 下界:53.998
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 当前价格: 55.19 到达格子顶或底了
