WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 基准价格: 59.88, 价格区间: [65.868, 64.67, 63.473, 62.275, 61.078, 59.88, 58.682, 57.485, 56.287, 55.09, 53.892]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 初始价格: 60.81 在第 5 格, 格子底: 59.88
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, <--- [买入] 订单编号: 50, 股票名称: , 价格: 60.81, 成交量: 822.00, 交易金额: 49982.60, 手续费: 24.99
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.77, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.77 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.73, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.73 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.67, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.67 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.65, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.65 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.54, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.54 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.61, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.61 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.61, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.61 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.62, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.62 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.7, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.7 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.79, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.79 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.78, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.78 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.86, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.79, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.79 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.66, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.66 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.59, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.59 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.63, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.63 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.53, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.53 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.55, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.55 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.65, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.65 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.63, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.63 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.61, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.61 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.57, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.57 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.48, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.48 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.44, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.37, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.37 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.32, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.32 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.32, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.32 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价:60.29, 上界:61.078, 下界:58.682
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-08-29, 当前价格: 60.29 到达格子顶或底了
