WARNING  mypy.lib.stock.backtrader.backtrader_helper:log.py:109 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-01, 收盘价: 40.56, 涨跌幅: 0.00%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-04, 收盘价: 39.91, 涨跌幅: -1.60%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-05, 收盘价: 40.38, 涨跌幅: 1.18%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-06, 收盘价: 40.07, 涨跌幅: -0.77%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-07, 收盘价: 40.63, 涨跌幅: 1.40%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-07, 下单买入: 40.63
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-08, <--- [买入] 订单编号: 1, 股票名称: , 价格: 40.44, 成交量: 1000.00, 交易金额: 40444.04, 手续费: 20.22
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-08, 收盘价: 40.45, 涨跌幅: -0.44%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-11, 收盘价: 40.73, 涨跌幅: 0.69%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-12, 收盘价: 41.38, 涨跌幅: 1.60%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-13, 收盘价: 40.20, 涨跌幅: -2.85%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-13, 下单卖出: 40.20
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-14, ---> [卖出] 订单编号: 2, 股票名称: , 价格: 39.94, 成交量: -1000.00, 交易金额: 40444.04, 手续费: 39.94
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-14, ----- 本次交易净利: -508.04, 毛利: -568.20
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-14, 收盘价: 40.02, 涨跌幅: -0.45%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-15, 收盘价: 40.05, 涨跌幅: 0.07%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-18, 收盘价: 40.13, 涨跌幅: 0.20%
INFO     mypy.lib.stock.strategy.base:log.py:101 🟢 2024-03-19, 收盘价: 39.40, 涨跌幅: -1.82%
