WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 基准价格: 57.28, 价格区间: [63.008, 61.862, 60.717, 59.571, 58.426, 57.28, 56.134, 54.989, 53.843, 52.698, 51.552]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 初始价格: 57.97 在第 5 格, 格子底: 57.28
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, <--- [买入] 订单编号: 37, 股票名称: , 价格: 57.99, 成交量: 862.00, 交易金额: 49983.76, 手续费: 24.99
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.99, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.99 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.87, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.87 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.86, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.87, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.87 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.86, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.83, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.83 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.87, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.87 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.91, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.91 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.9, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.9 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.91, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.91 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.85, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.85 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.91, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.91 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.82, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.82 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.79, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.79 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.75, 上界:58.426, 下界:56.134
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价格: 57.75 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 当前价:57.65, 上界:58.426, 下界:56.134
