WARNING  mypy.lib.stock.backtrader.backtrader_helper:log.py:113 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-03-28, 收盘价: 38.26, 涨跌幅: 0.00%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-03-29, <--- [买入] 订单编号: 46, 股票名称: , 价格: 38.35, 成交量: 1000.00, 交易金额: 38353.84, 手续费: 19.18
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-03-29, 收盘价: 38.38, 涨跌幅: 0.31%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-01, ---> [卖出] 订单编号: 47, 股票名称: , 价格: 38.52, 成交量: -1000.00, 交易金额: 38353.84, 手续费: 38.52
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-01, ----- 本次交易净利: 162.31, 毛利: 104.62
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-01, 收盘价: 38.82, 涨跌幅: 1.15%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-02, <--- [买入] 订单编号: 48, 股票名称: , 价格: 38.76, 成交量: 1000.00, 交易金额: 38763.88, 手续费: 19.38
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-02, 收盘价: 38.57, 涨跌幅: -0.64%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-03, 收盘价: 38.07, 涨跌幅: -1.30%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-08, ---> [卖出] 订单编号: 49, 股票名称: , 价格: 37.85, 成交量: -1000.00, 交易金额: 38763.88, 手续费: 37.85
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-08, ----- 本次交易净利: -917.66, 毛利: -974.89
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-08, 收盘价: 37.79, 涨跌幅: -0.74%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-09, 收盘价: 37.68, 涨跌幅: -0.29%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-10, 收盘价: 36.77, 涨跌幅: -2.42%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-11, 收盘价: 36.52, 涨跌幅: -0.68%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-12, 收盘价: 35.35, 涨跌幅: -3.20%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-15, 收盘价: 35.93, 涨跌幅: 1.64%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-16, <--- [买入] 订单编号: 50, 股票名称: , 价格: 35.93, 成交量: 1000.00, 交易金额: 35933.59, 手续费: 17.97
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-16, 收盘价: 35.85, 涨跌幅: -0.22%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-17, 收盘价: 36.52, 涨跌幅: 1.87%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-18, 收盘价: 37.27, 涨跌幅: 2.05%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-19, 收盘价: 36.99, 涨跌幅: -0.75%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-22, ---> [卖出] 订单编号: 51, 股票名称: , 价格: 37.06, 成交量: -1000.00, 交易金额: 35933.59, 手续费: 37.06
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-22, ----- 本次交易净利: 1126.41, 毛利: 1071.38
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-22, 收盘价: 37.40, 涨跌幅: 1.11%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-23, <--- [买入] 订单编号: 52, 股票名称: , 价格: 37.39, 成交量: 1000.00, 交易金额: 37393.74, 手续费: 18.70
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-23, 收盘价: 37.46, 涨跌幅: 0.16%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-24, 收盘价: 38.17, 涨跌幅: 1.90%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-25, 收盘价: 38.63, 涨跌幅: 1.21%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-26, 收盘价: 39.10, 涨跌幅: 1.22%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-29, 收盘价: 39.65, 涨跌幅: 1.41%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-30, ---> [卖出] 订单编号: 53, 股票名称: , 价格: 39.65, 成交量: -1000.00, 交易金额: 37393.74, 手续费: 39.65
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-30, ----- 本次交易净利: 2252.30, 毛利: 2193.95
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-04-30, 收盘价: 38.93, 涨跌幅: -1.82%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-06, 收盘价: 40.06, 涨跌幅: 2.90%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-07, 收盘价: 40.16, 涨跌幅: 0.25%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-08, 收盘价: 39.52, 涨跌幅: -1.59%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-09, 收盘价: 39.91, 涨跌幅: 0.99%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-10, 收盘价: 40.50, 涨跌幅: 1.48%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-13, <--- [买入] 订单编号: 54, 股票名称: , 价格: 40.08, 成交量: 1000.00, 交易金额: 40084.01, 手续费: 20.04
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-13, 收盘价: 40.22, 涨跌幅: -0.69%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-14, ---> [卖出] 订单编号: 55, 股票名称: , 价格: 40.22, 成交量: -1000.00, 交易金额: 40084.01, 手续费: 40.22
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-14, ----- 本次交易净利: 131.97, 毛利: 71.71
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-14, 收盘价: 39.88, 涨跌幅: -0.85%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-15, 收盘价: 39.41, 涨跌幅: -1.18%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-16, 收盘价: 40.62, 涨跌幅: 3.07%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-17, <--- [买入] 订单编号: 56, 股票名称: , 价格: 41.17, 成交量: 1000.00, 交易金额: 41174.12, 手续费: 20.59
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-17, 收盘价: 42.77, 涨跌幅: 5.29%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-20, 收盘价: 43.03, 涨跌幅: 0.61%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-21, 收盘价: 42.97, 涨跌幅: -0.14%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-22, ---> [卖出] 订单编号: 57, 股票名称: , 价格: 42.87, 成交量: -1000.00, 交易金额: 41174.12, 手续费: 42.87
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-22, ----- 本次交易净利: 1691.60, 毛利: 1628.14
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-22, 收盘价: 42.97, 涨跌幅: 0.00%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-23, 收盘价: 42.35, 涨跌幅: -1.44%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-24, 收盘价: 41.46, 涨跌幅: -2.10%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-27, 收盘价: 41.67, 涨跌幅: 0.51%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-28, 收盘价: 41.33, 涨跌幅: -0.82%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-29, 收盘价: 41.04, 涨跌幅: -0.70%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-30, 收盘价: 40.72, 涨跌幅: -0.78%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-05-31, 收盘价: 40.64, 涨跌幅: -0.20%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-03, 收盘价: 40.70, 涨跌幅: 0.15%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-04, 收盘价: 40.84, 涨跌幅: 0.34%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-05, 收盘价: 40.65, 涨跌幅: -0.47%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-06, 收盘价: 40.02, 涨跌幅: -1.55%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-07, 收盘价: 39.69, 涨跌幅: -0.82%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-11, 收盘价: 39.40, 涨跌幅: -0.73%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-12, 收盘价: 38.97, 涨跌幅: -1.09%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-13, 收盘价: 38.87, 涨跌幅: -0.26%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-14, 收盘价: 39.44, 涨跌幅: 1.47%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-17, <--- [买入] 订单编号: 58, 股票名称: , 价格: 39.17, 成交量: 1000.00, 交易金额: 39173.92, 手续费: 19.59
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-17, 收盘价: 39.15, 涨跌幅: -0.74%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-18, 收盘价: 39.30, 涨跌幅: 0.38%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-19, 收盘价: 39.57, 涨跌幅: 0.69%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-20, 收盘价: 39.08, 涨跌幅: -1.24%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-21, ---> [卖出] 订单编号: 59, 股票名称: , 价格: 39.06, 成交量: -1000.00, 交易金额: 39173.92, 手续费: 39.06
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-21, ----- 本次交易净利: -117.82, 毛利: -176.47
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-21, 收盘价: 39.24, 涨跌幅: 0.41%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-24, <--- [买入] 订单编号: 60, 股票名称: , 价格: 39.10, 成交量: 1000.00, 交易金额: 39103.91, 手续费: 19.55
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-24, 收盘价: 39.37, 涨跌幅: 0.33%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-25, ---> [卖出] 订单编号: 61, 股票名称: , 价格: 39.36, 成交量: -1000.00, 交易金额: 39103.91, 手续费: 39.36
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-25, ----- 本次交易净利: 252.15, 毛利: 193.25
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-25, 收盘价: 39.12, 涨跌幅: -0.64%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-26, 收盘价: 39.22, 涨跌幅: 0.26%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-27, 收盘价: 38.99, 涨跌幅: -0.59%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-06-28, 收盘价: 38.93, 涨跌幅: -0.15%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-07-01, 收盘价: 39.19, 涨跌幅: 0.67%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-07-02, 收盘价: 39.74, 涨跌幅: 1.40%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-07-03, <--- [买入] 订单编号: 62, 股票名称: , 价格: 39.75, 成交量: 1000.00, 交易金额: 39753.97, 手续费: 19.88
