WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 基准价格: 6.22, 价格区间: [6.842, 6.718, 6.593, 6.469, 6.344, 6.22, 6.096, 5.971, 5.847, 5.722, 5.598]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 初始价格: 6.21 在第 6 格, 格子底: 6.096
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, <--- [买入] 订单编号: 49, 股票名称: , 价格: 6.21, 成交量: 9661.00, 交易金额: 59994.81, 手续费: 30.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.2, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.2 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.2, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.2 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.19, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.19 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.22, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.22 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.22, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.22 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价:6.22, 上界:6.22, 下界:5.971
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-18, 当前价格: 6.22 到达格子顶或底了
