WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单买入: 57.91
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, <--- [买入] 订单编号: 1, 股票名称: , 价格: 57.90, 成交量: 1000.00, 交易金额: 57895.79, 手续费: 28.95
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单卖出: 57.85
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ---> [卖出] 订单编号: 2, 股票名称: , 价格: 57.85, 成交量: -1000.00, 交易金额: 57895.79, 手续费: 57.85
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ----- 本次交易净利: -41.57, 毛利: -128.38
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单买入: 57.91
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, <--- [买入] 订单编号: 3, 股票名称: , 价格: 57.93, 成交量: 1000.00, 交易金额: 57925.79, 手续费: 28.96
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单卖出: 57.82
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ---> [卖出] 订单编号: 4, 股票名称: , 价格: 57.85, 成交量: -1000.00, 交易金额: 57925.79, 手续费: 57.85
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ----- 本次交易净利: -71.58, 毛利: -158.40
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单买入: 57.80
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, <--- [买入] 订单编号: 5, 股票名称: , 价格: 57.80, 成交量: 1000.00, 交易金额: 57800.00, 手续费: 28.90
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单卖出: 57.97
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ---> [卖出] 订单编号: 6, 股票名称: , 价格: 57.96, 成交量: -1000.00, 交易金额: 57800.00, 手续费: 57.96
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, ----- 本次交易净利: 164.20, 毛利: 77.34
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-17, 下单买入: 58.10
