WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 基准价格: 55.54, 价格区间: [61.094, 59.983, 58.872, 57.762, 56.651, 55.54, 54.429, 53.318, 52.208, 51.097, 49.986]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 初始价格: 55.51 在第 6 格, 格子底: 54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, <--- [买入] 订单编号: 40, 股票名称: , 价格: 55.52, 成交量: 1080.00, 交易金额: 59956.80, 手续费: 29.98
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.52, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.52 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.49, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.49 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.53, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.53 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.53, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.53 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.6, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.6 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.62, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.62 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.66, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.66 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.72, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.72 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.75, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.75 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.75, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.75 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.84, 上界:55.54, 下界:53.318
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.84, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.84 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 调仓至 50.0% 仓位
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, ---> [卖出] 订单编号: 41, 股票名称: , 价格: 55.82, 成交量: -181.00, 交易金额: 10048.31, 手续费: 10.10
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.72, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.72 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.7, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.7 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.79, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.79 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.77, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.77 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.82, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.82 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.78, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.78 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.8, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.8 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.78, 上界:56.651, 下界:54.429
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价格: 55.78 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-10-10, 当前价:55.78, 上界:56.651, 下界:54.429
