WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.12
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 1, 股票名称: , 价格: 55.13, 成交量: 1000.00, 交易金额: 55125.51, 手续费: 27.56
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单卖出: 55.17
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ---> [卖出] 订单编号: 2, 股票名称: , 价格: 55.15, 成交量: -1000.00, 交易金额: 55125.51, 手续费: 55.15
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ----- 本次交易净利: 28.97, 毛利: -53.75
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.16
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 3, 股票名称: , 价格: 55.16, 成交量: 1000.00, 交易金额: 55155.51, 手续费: 27.58
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单卖出: 55.26
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ---> [卖出] 订单编号: 4, 股票名称: , 价格: 55.27, 成交量: -1000.00, 交易金额: 55155.51, 手续费: 55.27
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ----- 本次交易净利: 118.96, 毛利: 36.10
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.28
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 5, 股票名称: , 价格: 55.30, 成交量: 1000.00, 交易金额: 55295.53, 手续费: 27.65
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单卖出: 55.26
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ---> [卖出] 订单编号: 6, 股票名称: , 价格: 55.25, 成交量: -1000.00, 交易金额: 55295.53, 手续费: 55.25
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ----- 本次交易净利: -41.06, 毛利: -123.96
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.29
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 7, 股票名称: , 价格: 55.30, 成交量: 1000.00, 交易金额: 55295.53, 手续费: 27.65
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单卖出: 55.36
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ---> [卖出] 订单编号: 8, 股票名称: , 价格: 55.35, 成交量: -1000.00, 交易金额: 55295.53, 手续费: 55.35
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ----- 本次交易净利: 58.93, 毛利: -24.07
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.41
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, <--- [买入] 订单编号: 9, 股票名称: , 价格: 55.39, 成交量: 1000.00, 交易金额: 55385.54, 手续费: 27.69
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单卖出: 55.45
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ---> [卖出] 订单编号: 10, 股票名称: , 价格: 55.47, 成交量: -1000.00, 交易金额: 55385.54, 手续费: 55.47
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, ----- 本次交易净利: 88.91, 毛利: 5.75
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-19, 下单买入: 55.54
