WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 基准价格: 55.22, 价格区间: [60.742, 59.638, 58.533, 57.429, 56.324, 55.22, 54.116, 53.011, 51.907, 50.802, 49.698]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 初始价格: 54.82 在第 6 格, 格子底: 54.116
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, <--- [买入] 订单编号: 39, 股票名称: , 价格: 54.82, 成交量: 1094.00, 交易金额: 59968.14, 手续费: 29.98
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.84, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.84 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.85, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.85 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.9, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.9 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.88, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.88 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.91, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.91 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.86, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.86, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.88, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.88 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.86, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.88, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.88 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.86, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.86 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.81, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.81 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.85, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.85 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.81, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.81 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.74, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.74 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.76, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.76 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.77, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.77 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.78, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.78 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.8, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.8 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.8, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.8 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.74, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.74 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.76, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.76 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.76, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.76 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.73, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.73 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.76, 上界:55.22, 下界:53.011
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价格: 54.76 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 当前价:54.72, 上界:55.22, 下界:53.011
