WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 基准价格: 6.32, 价格区间: [6.952, 6.826, 6.699, 6.573, 6.446, 6.32, 6.194, 6.067, 5.941, 5.814, 5.688]
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 初始价格: 6.4 在第 5 格, 格子底: 6.32
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, <--- [买入] 订单编号: 43, 股票名称: , 价格: 6.40, 成交量: 7812.00, 交易金额: 50001.80, 手续费: 25.00
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.41, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.41 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.42, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.42 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.42, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.42 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.42, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.42 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.42, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.42 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.44, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.44, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.45, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.45 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.45, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.45 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.41, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.41 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.42, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.42 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.44, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.44, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.43 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.44, 上界:6.446, 下界:6.194
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价格: 6.44 到达格子顶或底了
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-07-11, 当前价:6.43, 上界:6.446, 下界:6.194
