WARNING  mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:199 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, <--- [买入] 订单编号: 37, 股票名称: , 价格: 55.12, 成交量: 1700.00, 交易金额: 93696.37, 手续费: 46.85
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, ---> [卖出] 订单编号: 38, 股票名称: , 价格: 55.26, 成交量: -1700.00, 交易金额: 93696.37, 手续费: 93.95
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, ----- 本次交易净利: 253.24, 毛利: 112.44
INFO     mypy.lib.stock.backtrader.strategy.base:base.py:65 🟢 2025-09-26, 回测结束，最终资金: 100112.44
INFO     mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:208 🍊🍊🍊 时间段 [2024-09-26 17:46:50.569082: 2025-09-26 17:46:50.569082], 起始资金: 100000, 结束资金: 100112.44, 总利润: 112.44, 利润率: 0.11%
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:54 🟢 ==================================================
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:55 🟢 annual_return 年化收益率
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:56 🟢 ==================================================
INFO     mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:164 🟢 年份: 2025, 收益率: 0.11%
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:54 🟢 ==================================================
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:55 🟢 sharpe_ratio 夏普比率
INFO     mypy.lib.stock.backtrader.backtrader_helper:log.py:56 🟢 ==================================================
ERROR    mypy.lib.stock.backtrader.backtrader_helper:backtrader_helper.py:218 🔴 分析器出错: must be real number, not NoneType
